,group,variable,value
0,D,Albania,74
1,D,Argentina,91
2,D,Australia,205
3,D,Austria,42
4,D,B-S-J-Z (China),65
5,D,Baku (Azerbaijan),19
6,D,Belarus,51
7,D,Belgium,36
8,D,Bosnia and Herzegovina,42
9,D,Brazil,165
10,D,Brunei Darussalam,7
11,D,Bulgaria,38
12,D,Canada,256
13,D,Chile,82
14,D,Chinese Taipei,52
15,D,Colombia,59
16,D,Costa Rica,22
17,D,Croatia,61
18,D,Czech Republic,45
19,D,Denmark,43
20,D,Dominican Republic,38
21,D,Estonia,53
22,D,Finland,69
23,D,France,32
24,D,Georgia,35
25,D,Germany,31
26,D,Greece,33
27,D,Hong Kong,43
28,D,Hungary,44
29,D,Iceland,23
30,D,Indonesia,68
31,D,Ireland,9
32,D,Israel,62
33,D,Italy,108
34,D,Japan,90
35,D,Jordan,54
36,D,Kazakhstan,198
37,D,Korea,71
38,D,Kosovo,36
39,D,Latvia,76
40,D,Lebanon,50
41,D,Lithuania,116
42,D,Luxembourg,20
43,D,Macao,44
44,D,Malaysia,63
45,D,Malta,0
46,D,Mexico,79
47,D,Moldova,38
48,D,Montenegro,11
49,D,Morocco,52
50,D,Moscow Region (RUS),27
51,D,Netherlands,41
52,D,New Zealand,40
53,D,North Macedonia,33
54,D,Norway,0
55,D,Panama,35
56,D,Peru,40
57,D,Philippines,58
58,D,Poland,42
59,D,Portugal,38
60,D,Qatar,44
61,D,Romania,46
62,D,Russian Federation,67
63,D,Saudi Arabia,61
64,D,Serbia,48
65,D,Singapore,0
66,D,Slovak Republic,46
67,D,Slovenia,49
68,D,Spain,291
69,D,Sweden,0
70,D,Switzerland,34
71,D,Tatarstan (RUS),49
72,D,Thailand,60
73,D,Turkey,50
74,D,Ukraine,58
75,D,United Arab Emirates,193
76,D,United Kingdom,100
77,D,United States,40
78,D,Uruguay,19
79,D,Vietnam,22
80,E,Albania,9
81,E,Argentina,114
82,E,Australia,272
83,E,Austria,44
84,E,B-S-J-Z (China),157
85,E,Baku (Azerbaijan),45
86,E,Belarus,37
87,E,Belgium,27
88,E,Bosnia and Herzegovina,0
89,E,Brazil,92
90,E,Brunei Darussalam,0
91,E,Bulgaria,33
92,E,Canada,102
93,E,Chile,59
94,E,Chinese Taipei,58
95,E,Colombia,75
96,E,Costa Rica,10
97,E,Croatia,10
98,E,Czech Republic,35
99,E,Denmark,25
100,E,Dominican Republic,29
101,E,Estonia,0
102,E,Finland,0
103,E,France,14
104,E,Georgia,63
105,E,Germany,19
106,E,Greece,46
107,E,Hong Kong,47
108,E,Hungary,41
109,E,Iceland,0
110,E,Indonesia,27
111,E,Ireland,29
112,E,Israel,0
113,E,Italy,23
114,E,Japan,41
115,E,Jordan,86
116,E,Kazakhstan,62
117,E,Korea,82
118,E,Kosovo,0
119,E,Latvia,0
120,E,Lebanon,12
121,E,Lithuania,0
122,E,Luxembourg,0
123,E,Macao,0
124,E,Malaysia,14
125,E,Malta,0
126,E,Mexico,67
127,E,Moldova,2
128,E,Montenegro,0
129,E,Morocco,30
130,E,Moscow Region (RUS),1
131,E,Netherlands,0
132,E,New Zealand,47
133,E,North Macedonia,3
134,E,Norway,0
135,E,Panama,18
136,E,Peru,6
137,E,Philippines,27
138,E,Poland,9
139,E,Portugal,12
140,E,Qatar,51
141,E,Romania,16
142,E,Russian Federation,39
143,E,Saudi Arabia,85
144,E,Serbia,38
145,E,Singapore,160
146,E,Slovak Republic,0
147,E,Slovenia,0
148,E,Spain,78
149,E,Sweden,0
150,E,Switzerland,0
151,E,Tatarstan (RUS),47
152,E,Thailand,19
153,E,Turkey,69
154,E,Ukraine,33
155,E,United Arab Emirates,209
156,E,United Kingdom,25
157,E,United States,21
158,E,Uruguay,59
159,E,Vietnam,11
160,B,Albania,41
161,B,Argentina,72
162,B,Australia,73
163,B,Austria,120
164,B,B-S-J-Z (China),65
165,B,Baku (Azerbaijan),58
166,B,Belarus,29
167,B,Belgium,68
168,B,Bosnia and Herzegovina,61
169,B,Brazil,73
170,B,Brunei Darussalam,28
171,B,Bulgaria,42
172,B,Canada,155
173,B,Chile,16
174,B,Chinese Taipei,14
175,B,Colombia,25
176,B,Costa Rica,65
177,B,Croatia,39
178,B,Czech Republic,100
179,B,Denmark,58
180,B,Dominican Republic,64
181,B,Estonia,43
182,B,Finland,52
183,B,France,56
184,B,Georgia,23
185,B,Germany,57
186,B,Greece,48
187,B,Hong Kong,2
188,B,Hungary,40
189,B,Iceland,16
190,B,Indonesia,122
191,B,Ireland,47
192,B,Israel,15
193,B,Italy,120
194,B,Japan,8
195,B,Jordan,63
196,B,Kazakhstan,63
197,B,Korea,10
198,B,Kosovo,28
199,B,Latvia,62
200,B,Lebanon,83
201,B,Lithuania,66
202,B,Luxembourg,14
203,B,Macao,0
204,B,Malaysia,34
205,B,Malta,28
206,B,Mexico,29
207,B,Moldova,40
208,B,Montenegro,18
209,B,Morocco,25
210,B,Moscow Region (RUS),9
211,B,Netherlands,18
212,B,New Zealand,33
213,B,North Macedonia,14
214,B,Norway,0
215,B,Panama,56
216,B,Peru,90
217,B,Philippines,17
218,B,Poland,42
219,B,Portugal,88
220,B,Qatar,39
221,B,Romania,26
222,B,Russian Federation,34
223,B,Saudi Arabia,29
224,B,Serbia,26
225,B,Singapore,0
226,B,Slovak Republic,73
227,B,Slovenia,91
228,B,Spain,258
229,B,Sweden,0
230,B,Switzerland,100
231,B,Tatarstan (RUS),18
232,B,Thailand,58
233,B,Turkey,11
234,B,Ukraine,36
235,B,United Arab Emirates,109
236,B,United Kingdom,112
237,B,United States,28
238,B,Uruguay,34
239,B,Vietnam,40
240,C,Albania,54
241,C,Argentina,121
242,C,Australia,131
243,C,Austria,54
244,C,B-S-J-Z (China),55
245,C,Baku (Azerbaijan),11
246,C,Belarus,34
247,C,Belgium,144
248,C,Bosnia and Herzegovina,77
249,C,Brazil,188
250,C,Brunei Darussalam,14
251,C,Bulgaria,66
252,C,Canada,162
253,C,Chile,67
254,C,Chinese Taipei,59
255,C,Colombia,39
256,C,Costa Rica,60
257,C,Croatia,70
258,C,Czech Republic,113
259,C,Denmark,104
260,C,Dominican Republic,46
261,C,Estonia,53
262,C,Finland,74
263,C,France,105
264,C,Georgia,39
265,C,Germany,79
266,C,Greece,75
267,C,Hong Kong,19
268,C,Hungary,76
269,C,Iceland,30
270,C,Indonesia,66
271,C,Ireland,42
272,C,Israel,66
273,C,Italy,256
274,C,Japan,44
275,C,Jordan,78
276,C,Kazakhstan,48
277,C,Korea,19
278,C,Kosovo,64
279,C,Latvia,72
280,C,Lebanon,90
281,C,Lithuania,58
282,C,Luxembourg,10
283,C,Macao,0
284,C,Malaysia,41
285,C,Malta,17
286,C,Mexico,49
287,C,Moldova,26
288,C,Montenegro,31
289,C,Morocco,29
290,C,Moscow Region (RUS),16
291,C,Netherlands,84
292,C,New Zealand,64
293,C,North Macedonia,50
294,C,Norway,0
295,C,Panama,48
296,C,Peru,76
297,C,Philippines,72
298,C,Poland,71
299,C,Portugal,124
300,C,Qatar,39
301,C,Romania,59
302,C,Russian Federation,49
303,C,Saudi Arabia,28
304,C,Serbia,71
305,C,Singapore,0
306,C,Slovak Republic,144
307,C,Slovenia,150
308,C,Spain,368
309,C,Sweden,0
310,C,Switzerland,70
311,C,Tatarstan (RUS),33
312,C,Thailand,82
313,C,Turkey,53
314,C,Ukraine,36
315,C,United Arab Emirates,116
316,C,United Kingdom,135
317,C,United States,49
318,C,Uruguay,63
319,C,Vietnam,12
320,A,Albania,146
321,A,Argentina,42
322,A,Australia,46
323,A,Austria,29
