name,code,Dispositivos conectados a internet,Ancho de banda,Dispositivos para docencia,Capacidad de los dispositivos,Software adecuado,Técnica y capacidades pedagógicas del profesorado,Tiempo para preparar integrar TIC,Recursos para aprender a usar dispositivos TIC,Disponible plataforma de elearning,Incentivos para integrar  dispositivos TIC ,Personal técnico cualificado
Albania,ALB,1.2492307692307691,1.633846153846154,1.126153846153846,1.0307692307692307,1.2276923076923076,1.9907407407407407,1.845679012345679,1.6615384615384616,0.9815384615384616,1.5753846153846154,1.9507692307692308
Argentina,ARG,0.9954022988505747,0.8215102974828375,0.8689655172413793,1.011441647597254,1.034324942791762,1.3690205011389522,1.2482915717539864,1.4589041095890412,0.8689655172413793,0.9724137931034482,1.0367816091954023
Australia,AUS,2.184285714285714,1.987142857142857,2.0912981455064195,2.1530758226037197,2.2514285714285713,1.7106017191977076,1.582857142857143,1.8414285714285714,1.9442857142857144,1.284692417739628,1.954220314735336
Austria,AUT,2.329861111111111,1.9097222222222223,2.0034722222222223,2.111888111888112,2.299651567944251,2.0243055555555554,2.173611111111111,2.0555555555555554,1.8815331010452963,1.7881944444444444,1.9166666666666667
B-S-J-Z (China),CHN,2.3961218836565097,2.404432132963989,2.3850415512465375,2.2326869806094183,2.0997229916897506,2.2326869806094183,2.210526315789474,2.229916897506925,2.3490304709141276,2.177285318559557,2.2770083102493075
Baku (Azerbaijan),AZE,1.5748031496062993,1.5153846153846153,1.3779527559055118,1.4651162790697674,1.6666666666666667,1.6589147286821706,1.8976377952755905,1.744186046511628,1.344,1.8888888888888888,1.6434108527131783
Belarus,BLR,1.7564102564102564,1.9316239316239316,1.623931623931624,1.5769230769230769,1.6538461538461537,2.0256410256410255,2.0042735042735043,1.623931623931624,1.1837606837606838,2.1196581196581197,1.7735042735042734
Belgium,BEL,1.8804347826086956,1.9782608695652173,1.8297101449275361,1.8695652173913044,1.9710144927536233,1.5905797101449275,1.8007246376811594,1.7246376811594204,1.4654545454545456,1.6159420289855073,1.6376811594202898
Bosnia and Herzegovina,BIH,1.408450704225352,1.4272300469483568,1.2769953051643192,1.2065727699530517,1.1784037558685445,1.6666666666666667,1.92018779342723,1.5727699530516432,1.192488262910798,1.4929577464788732,1.5821596244131455
Brazil,BRA,0.9016100178890877,0.8894830659536542,0.8694096601073346,0.9212880143112702,0.9071428571428571,1.456989247311828,1.4587813620071686,1.3118279569892473,1.0873440285204992,1.4357142857142857,0.7557932263814616
Brunei Darussalam,BRN,1.6727272727272726,1.4545454545454546,1.4181818181818182,1.6,1.5636363636363637,1.709090909090909,1.6545454545454545,1.7636363636363637,1.2363636363636363,1.1454545454545455,1.4
